u_precision,u_recall,u_rmse,n_t,n_p,model,structure,level
0.9285714285714286,1.0,0.3535533905932738,25,28,restormer,tas2-A_Doped-Li.png,4
0.8529411764705882,1.0,0.8304547985373997,29,34,restormer,tas2-A_Doped-Li.png,8
0.8108108108108109,1.0,0.2626128657194451,30,37,restormer,tas2-A_Doped-Li.png,12
0.918918918918919,1.0,0.7669649888473704,34,37,restormer,tas2-A_Doped-Li.png,16
0.7368421052631579,1.0,1.1435437497937313,14,19,restormer,tas2-A_Doped-Li.png,20
0.9310344827586207,1.0,0.3849001794597505,28,29,restormer,tas2-A_Doped-Li.png,28
0.6206896551724138,1.0,1.3165611772087666,15,29,restormer,tas2-A_Doped-Li.png,36
1.0,0.9830508474576272,0.3939192985791677,118,116,restormer,tase2-A_Vacancy-Anion-12B.png,1
1.0,0.9831932773109243,0.34591634777518054,119,117,restormer,tase2-A_Vacancy-Anion-12B.png,2
1.0,0.9824561403508771,0.472455591261534,114,112,restormer,tase2-A_Vacancy-Anion-12B.png,4
1.0,0.9915254237288136,0.5229763603684908,118,117,restormer,tase2-A_Vacancy-Anion-12B.png,8
0.9791666666666666,0.9690721649484536,0.5359422007578724,97,96,restormer,tase2-A_Vacancy-Anion-12B.png,12
1.0,0.9911504424778761,0.46499055497527714,113,111,restormer,tase2-A_Vacancy-Anion-12B.png,16
1.0,0.9915254237288136,0.4529108136578383,118,117,restormer,tase2-A_Vacancy-Anion-12B.png,20
0.9831932773109243,0.9831932773109243,0.4134491152973615,119,119,restormer,tase2-A_Vacancy-Anion-12B.png,28
1.0,0.9833333333333333,0.40126917294073605,120,118,restormer,tase2-A_Vacancy-Anion-12B.png,36
0.9876543209876543,0.9746835443037974,0.4108907018066591,79,81,restormer,nbs2_Anti-Metal.png,1
0.9866666666666667,0.961038961038961,0.42199785755477703,77,75,restormer,nbs2_Anti-Metal.png,2
0.9871794871794872,0.9875,0.3603749850782236,80,78,restormer,nbs2_Anti-Metal.png,4
0.9868421052631579,0.9736842105263158,0.4191368221424547,76,76,restormer,nbs2_Anti-Metal.png,8
0.9629629629629629,0.9873417721518988,0.35805743701971643,79,81,restormer,nbs2_Anti-Metal.png,12
0.948051948051948,0.9367088607594937,0.48257301243311057,79,77,restormer,nbs2_Anti-Metal.png,16
0.9736842105263158,1.0,0.37267799624996495,72,76,restormer,nbs2_Anti-Metal.png,20
0.9459459459459459,0.9726027397260274,0.3964124835860459,73,74,restormer,nbs2_Anti-Metal.png,28
0.625,1.0,1.4832396974191326,6,8,restormer,nbs2_Anti-Metal.png,36
1.0,1.0,0.2721655269759087,81,83,restormer,nbse2_Cu_doped.png,1
1.0,1.0,0.2469323991623974,83,82,restormer,nbse2_Cu_doped.png,2
1.0,1.0,0.25197631533948484,64,64,restormer,nbse2_Cu_doped.png,4
1.0,1.0,0.25607375986579195,62,63,restormer,nbse2_Cu_doped.png,8
1.0,1.0,0.16329931618554522,78,76,restormer,nbse2_Cu_doped.png,12
1.0,1.0,0.21693045781865616,86,86,restormer,nbse2_Cu_doped.png,16
0.9642857142857143,1.0,0.3634218921558155,54,56,restormer,nbse2_Cu_doped.png,20
1.0,1.0,0.19245008972987526,28,27,restormer,nbse2_Cu_doped.png,28
1.0,1.0,0.23249527748763857,37,40,restormer,nbse2_Cu_doped.png,36
0.9285714285714286,1.0,0.40471360670018974,119,126,restormer,nbte2_Vacancy-Anion-12A.png,1
0.9389312977099237,1.0,0.36363636363636365,122,131,restormer,nbte2_Vacancy-Anion-12A.png,2
0.9285714285714286,1.0,0.41522739926869984,119,126,restormer,nbte2_Vacancy-Anion-12A.png,4
0.9349593495934959,1.0,0.3878691504568341,116,123,restormer,nbte2_Vacancy-Anion-12A.png,8
0.9238095238095239,1.0,0.45643546458763845,101,105,restormer,nbte2_Vacancy-Anion-12A.png,12
0.9411764705882353,1.0,0.4451945621839941,113,119,restormer,nbte2_Vacancy-Anion-12A.png,16
0.9553571428571429,1.0,0.4120816918460671,109,112,restormer,nbte2_Vacancy-Anion-12A.png,20
0.9411764705882353,1.0,0.3227486121839514,52,51,restormer,nbte2_Vacancy-Anion-12A.png,28
