structure,op,level,family,h,w,mean,std,min,max,frac_sat
mos2-A_Vacancy-Anion-06B.png,A,0,mos2,639,553,63.11345291137695,45.87837600708008,0.0,255.0,5.6598380720327595e-06
mos2-A_Vacancy-Metal.png,A,0,mos2,639,553,62.07932662963867,42.298583984375,0.0,255.0,2.8299190360163797e-06
mos2-B_Adatom-K.png,A,0,mos2,637,551,51.26996612548828,35.631324768066406,0.0,255.0,2.8491083715351283e-06
mos2-B_Adatom-Li.png,A,0,mos2,637,551,69.40450286865234,46.713775634765625,0.0,255.0,2.8491083715351283e-06
mos2-B_Adatom-Na.png,A,0,mos2,637,551,59.80569839477539,39.339534759521484,0.0,255.0,2.8491083715351283e-06
mos2-B_Anti-2M.png,A,0,mos2,637,551,73.09709167480469,47.88664245605469,0.0,255.0,5.6982167430702565e-06
mos2-B_Anti-Anion.png,A,0,mos2,637,551,68.08518981933594,46.31843185424805,0.0,255.0,2.8491083715351283e-06
mos2-B_Anti-Metal.png,A,0,mos2,637,551,50.479278564453125,33.614898681640625,0.0,255.0,5.6982167430702565e-06
mos2-B_Defect-Free.png,A,0,mos2,637,551,75.55619812011719,49.57180404663086,0.0,255.0,5.6982167430702565e-06
mos2-B_Doped-K.png,A,0,mos2,637,551,73.38639068603516,48.577518463134766,0.0,255.0,2.8491083715351283e-06
mos2-B_Doped-Li.png,A,0,mos2,637,551,70.76118469238281,48.30326843261719,0.0,255.0,5.6982167430702565e-06
mos2-B_Doped-Na.png,A,0,mos2,637,551,65.18665313720703,42.50558853149414,0.0,255.0,2.8491083715351283e-06
mos2-B_Ti_adatom.png,A,0,mos2,637,551,39.72175216674805,28.127120971679688,0.0,255.0,2.8491083715351283e-06
mos2-B_Ti_doped.png,A,0,mos2,637,551,69.88850402832031,47.220680236816406,0.0,255.0,2.8491083715351283e-06
mos2-B_V_adatom.png,A,0,mos2,637,551,40.80925369262695,27.923593521118164,0.0,255.0,2.8491083715351283e-06
mos2-B_V_doped.png,A,0,mos2,637,551,59.158111572265625,47.05058288574219,0.0,255.0,2.8491083715351283e-06
mos2-B_Vacancy-Anion-03.png,A,0,mos2,637,551,71.00139617919922,48.634010314941406,0.0,255.0,2.8491083715351283e-06
mos2-B_Vacancy-Anion-06A.png,A,0,mos2,637,551,52.57766342163086,39.026798248291016,0.0,255.0,5.6982167430702565e-06
mos2-B_Vacancy-Anion-06B.png,A,0,mos2,637,551,71.5665054321289,45.36561965942383,0.0,255.0,2.8491083715351283e-06
mos2-B_Vacancy-Metal.png,A,0,mos2,637,551,49.7025260925293,37.01100540161133,0.0,255.0,5.6982167430702565e-06
mose2-A_Adatom-K.png,A,0,mose2,664,575,52.361541748046875,39.31653594970703,0.0,255.0,2.6191723415400735e-06
mose2-A_Adatom-Li.png,A,0,mose2,664,575,50.282470703125,38.16090393066406,0.0,255.0,2.6191723415400735e-06
mose2-A_Adatom-Na.png,A,0,mose2,664,575,55.743839263916016,38.07430648803711,0.0,255.0,1.3095861707700367e-05
mose2-A_Anti-2M.png,A,0,mose2,664,575,55.67007827758789,40.47542953491211,0.0,255.0,7.85751702462022e-06
mose2-A_Anti-Anion.png,A,0,mose2,664,575,64.10623168945312,49.607608795166016,0.0,255.0,2.6191723415400735e-06
mose2-A_Anti-Metal.png,A,0,mose2,664,575,57.52703857421875,45.57604217529297,0.0,255.0,1.0476689366160294e-05
mose2-A_Defect-Free.png,A,0,mose2,664,575,59.91334915161133,47.44171905517578,0.0,255.0,2.6191723415400735e-06
mose2-A_Doped-K.png,A,0,mose2,664,575,66.72343444824219,47.13120651245117,0.0,255.0,2.6191723415400735e-06
mose2-A_Doped-Li.png,A,0,mose2,664,575,65.35893249511719,49.250518798828125,0.0,255.0,2.6191723415400735e-06
mose2-A_Doped-Na.png,A,0,mose2,664,575,38.1092643737793,32.017520904541016,0.0,255.0,2.6191723415400735e-06
mose2-A_Ti_adatom.png,A,0,mose2,664,575,67.25148010253906,46.845829010009766,0.0,255.0,5.238344683080147e-06
